id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username
18,631.0,114,26455.0,0.0,0.0,0.0,0.0,0,0,0,0
18,64.0,18,0.0,63123.0,0.0,0.0,0.0,0,0,0,0
18,469.0,1,0.0,0.0,36636.0,0.0,0.0,0,0,0,0
18,517.0,1,0.0,0.0,0.0,82.0,63771.0,0,0,0,0
19,626.0,114,26478.0,0.0,0.0,0.0,0.0,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,johntest
19,62.0,18,0.0,63124.0,0.0,0.0,0.0,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,johntest
19,546.0,1,0.0,0.0,37423.0,0.0,0.0,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,johntest
19,161.0,1,0.0,0.0,0.0,59.0,63977.0,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,johntest
20,571.0,114,26522.0,0.0,0.0,0.0,0.0,0,0,0,0
20,63.0,18,0.0,63124.0,0.0,0.0,0.0,0,0,0,0
20,540.0,1,0.0,0.0,37430.0,0.0,0.0,0,0,0,0
20,633.0,18,0.0,0.0,0.0,21.0,82014.0,0,0,0,0
22,558.0,116,45227.0,0.0,0.0,0.0,0.0,0,0,0,0
22,65.0,18,0.0,63188.0,0.0,0.0,0.0,0,0,0,0
22,570.0,1,0.0,0.0,56742.0,0.0,0.0,0,0,0,0
22,35.0,18,0.0,0.0,0.0,22.0,65401.0,0,0,0,0
23,551.0,116,45235.0,0.0,0.0,0.0,0.0,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,SachinKinha
23,66.0,1,0.0,4961.0,0.0,0.0,0.0,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,SachinKinha
23,14.0,1,0.0,0.0,49852.0,0.0,0.0,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,SachinKinha
23,36.0,18,0.0,0.0,0.0,12.0,65408.0,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,SachinKinha
24,560.0,116,45246.0,0.0,0.0,0.0,0.0,0,0,0,0
24,75.0,1,0.0,5308.0,0.0,0.0,0.0,0,0,0,0
24,513.0,1,0.0,0.0,49859.0,0.0,0.0,0,0,0,0
24,56.0,18,0.0,0.0,0.0,92.0,63850.0,0,0,0,0
25,588.0,116,45287.0,0.0,0.0,0.0,0.0,0,0,0,0
25,74.0,1,0.0,5336.0,0.0,0.0,0.0,0,0,0,0
25,512.0,1,0.0,0.0,49869.0,0.0,0.0,0,0,0,0
25,142.0,1,0.0,0.0,0.0,96.0,59825.0,0,0,0,0
32,473.0,44,66730.0,0.0,0.0,0.0,0.0,always-choose-peace-over-drama,always choose peace over drama,uzAPdKH,000205.c9295afebced4ceb96d0f7676a0ac604.0951
